ESN^AccountId^LastCallUTC^Username^DeviceName^SerialNumber^Make^Model^AssetNumber^PCMacFlag^GroupId^StolenFlag
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^490^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^491^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^492^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^493^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^494^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^495^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^496^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^497^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^498^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^499^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^500^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^501^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^502^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^504^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^505^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^506^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^507^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^508^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^509^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^510^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^511^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^512^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^513^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^514^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^515^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^516^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^517^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^518^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^519^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^520^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^521^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^531^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^534^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^539^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^541^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^547^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^550^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^553^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^663^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^664^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^665^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^672^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^676^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^679^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^681^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^688^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^706^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^707^0
2BB2WNFLGGAA00130002^150003^2011-01-30 05:06:39.380^jasonlei^JOHNVM^VMWARE 56 4D 43 C2 22 0C 3D 9A 38 F6 D1 70 B5 F6 5^VMWARE, INC.^VMWARE_VIRTUAL^Asset 2323^P^708^0
2BB2WNFLGGAA00130004^150003^2010-01-03 23:23:35.207^QA^QA-DV2CORP2STOL^VMWARE 56 4D 5F 08 76 E1 56 7F 3C 96 DA E4 9A D3 6^VMWARE, INC.^VMWARE VIRTUAL PLATFORM^[man_lig]^P^63^3
2BB2WNFLGGAA00130004^150003^2010-01-03 23:23:35.207^QA^QA-DV2CORP2STOL^VMWARE 56 4D 5F 08 76 E1 56 7F 3C 96 DA E4 9A D3 6^VMWARE, INC.^VMWARE VIRTUAL PLATFORM^[man_lig]^P^113^3
2BB2WNFLGGAA00130004^150003^2010-01-03 23:23:35.207^QA^QA-DV2CORP2STOL^VMWARE 56 4D 5F 08 76 E1 56 7F 3C 96 DA E4 9A D3 6^VMWARE, INC.^VMWARE VIRTUAL PLATFORM^[man_lig]^P^344^3
2BB2WNFLGGAA00130004^150003^2010-01-03 23:23:35.207^QA^QA-DV2CORP2STOL^VMWARE 56 4D 5F 08 76 E1 56 7F 3C 96 DA E4 9A D3 6^VMWARE, INC.^VMWARE VIRTUAL PLATFORM^[man_lig]^P^383^3
2BB2WNFLGGAA00130004^150003^2010-01-03 23:23:35.207^QA^QA-DV2CORP2STOL^VMWARE 56 4D 5F 08 76 E1 56 7F 3C 96 DA E4 9A D3 6^VMWARE, INC.^VMWARE VIRTUAL PLATFORM^[man_lig]^P^404^3
2BB2WNFLGGAA00130004^150003^2010-01-03 23:23:35.207^QA^QA-DV2CORP2STOL^VMWARE 56 4D 5F 08 76 E1 56 7F 3C 96 DA E4 9A D3 6^VMWARE, INC.^VMWARE VIRTUAL PLATFORM^[man_lig]^P^405^3
2BB2WNFLGGAA00130004^150003^2010-01-03 23:23:35.207^QA^QA-DV2CORP2STOL^VMWARE 56 4D 5F 08 76 E1 56 7F 3C 96 DA E4 9A D3 6^VMWARE, INC.^VMWARE VIRTUAL PLATFORM^[man_lig]^P^408^3
2BB2WNFLGGAA00130004^150003^2010-01-03 23:23:35.207^QA^QA-DV2CORP2STOL^VMWARE 56 4D 5F 08 76 E1 56 7F 3C 96 DA E4 9A D3 6^VMWARE, INC.^VMWARE VIRTUAL PLATFORM^[man_lig]^P^476^3
